POSICAO;NO_MUNICIPIO_ESC;SG_UF_ESC;DEPENDENCIA;ALUNOS;LC;CH;CN;MT;RD;MEDIA
282;Governador Mangabeira;BA;Privada;4;534.9;571.12;552.38;568.4;870.0;619.36
283;Pirangi;SP;Privada;15;564.67;584.12;570.63;651.99;725.33;619.35
284;Duque de Caxias;RJ;Federal;146;570.33;596.79;567.55;623.74;737.81;619.24
285;São João Nepomuceno;MG;Privada;40;557.94;585.09;541.54;621.73;788.5;618.96
286;Jaguaruana;CE;Municipal;1;579.1;595.2;562.2;698.2;660.0;618.94
287;Cachoeiro de Itapemirim;ES;Privada;214;539.98;564.01;554.22;632.8;802.8;618.76
288;Potirendaba;SP;Privada;6;572.78;590.72;566.17;600.8;763.33;618.76
289;Luzerna;SC;Federal;49;570.26;605.5;555.4;636.53;725.71;618.68
290;Abaeté;MG;Privada;17;563.75;576.59;542.69;651.41;758.82;618.65
291;Valença;RJ;Privada;37;548.49;581.08;535.56;622.6;805.41;618.63
292;Santiago;RS;Privada;40;572.72;594.31;548.91;622.24;754.5;618.54
293;Erechim;RS;Privada;112;557.29;574.3;561.79;647.41;751.61;618.48
294;Porto Alegre;RS;Privada;2540;570.46;593.33;549.73;633.38;745.03;618.39
295;Brasilândia do Sul;PR;Estadual;1;535.8;506.0;490.0;679.8;880.0;618.32
296;São José do Rio Pardo;SP;Privada;82;554.31;578.21;556.5;626.22;776.1;618.27
297;Alpinópolis;MG;Privada;27;537.5;548.37;548.36;615.27;841.48;618.2
298;Ibitinga;SP;Privada;36;570.71;577.27;568.84;620.72;753.33;618.18
299;Campo Largo;PR;Federal;47;570.49;605.97;567.9;642.06;704.26;618.13
300;Jaraguá do Sul;SC;Privada;244;551.28;576.0;562.37;641.57;759.34;618.11
301;Pirassununga;SP;Privada;97;559.05;585.7;561.52;618.12;765.57;617.99
302;Monte Azul Paulista;SP;Privada;1;577.3;623.7;559.4;649.5;680.0;617.98
303;Toledo;PR;Privada;158;554.97;582.72;558.02;641.07;752.91;617.94
304;Teresina;PI;Privada;2599;549.72;573.1;545.89;618.76;801.92;617.88
305;Piumhi;MG;Federal;30;554.53;578.15;572.41;647.63;736.67;617.87
306;Ipameri;GO;Privada;11;544.58;572.89;538.47;629.25;803.64;617.77
307;Sobral;CE;Privada;384;543.71;578.26;548.15;628.43;789.9;617.69
308;Florianópolis;SC;Privada;1351;565.18;592.27;562.59;641.15;726.69;617.58
309;Mucuri;BA;Privada;57;542.41;565.2;542.22;637.56;800.0;617.48
310;Niterói;RJ;Privada;1669;555.43;580.24;543.16;630.01;778.44;617.46
311;Teófilo Otoni;MG;Privada;93;554.72;587.79;544.18;638.28;762.15;617.42
312;Jataí;GO;Privada;143;542.06;577.45;549.59;631.61;786.15;617.37
313;Patos de Minas;MG;Federal;70;557.35;587.44;549.77;633.06;759.14;617.35
314;Guaporé;RS;Privada;22;578.1;590.24;558.9;619.97;739.09;617.26
315;Passos;MG;Privada;128;551.44;576.89;544.51;634.25;779.06;617.23
316;Aquidauana;MS;Privada;7;548.64;591.33;577.63;650.81;717.14;617.11
317;Pedro Leopoldo;MG;Privada;51;556.54;586.54;548.54;634.62;759.22;617.09
318;Jacutinga;MG;Privada;23;544.51;588.81;576.93;668.16;706.96;617.07
319;São Valentim do Sul;RS;Estadual;4;569.55;601.4;542.62;611.33;760.0;616.98
320;Morrinhos;GO;Privada;7;578.21;560.06;566.1;608.73;771.43;616.91
